#ID,Product Name
15D91B75,X12DAi-N
15D90965,C7B250-CB-ML
15D90964,H11DSi-NT
15D90963,H11DSU-i
15D90962,X11DPT-B
15D90961,P9DSC
15D90960,X11SAN
15D9095F,X11SAA
15D9095E,X11SPH-NCTPF
15D9095D,X11SPM-T(P)F
15D9095C,X11DPU-X
15D9095B,X11DPU-XLL
15D9095A,X10DGO
15D90959,R10SR2
15D90958,X11SSH-GF/X11SSH-GTF-1585(L)
15D90957,AOC-MHIBF-m2Q2G
15D90956,AOC-MHIBF-m1Q2G
15D90955,X11SSW-(4)TF
15D90954,AOC-C25G-m1S
15D90953,X11SPW-(c)TF
15D90952,X11SPX-TF
15D90951,B2SS1(2)-MTF
15D90950,X10DRW-SE
15D9094F,P8DNU
15D9094E,AOC-MH25G-b2S2G
15D9094D,AOC-MHIBF-m2/1Q2G
15D9094C,AOC-S25G-m2S
15D9094B,AOC-S100G-m2C
15D9094A,AOC-2UR68-m2TS
15D90949,AOC-MH25G-m2S2T
15D90948,AOC-C25G-m2S
15D90947,A2SAN
15D90946,X10SDV-AM041
15D90945,C7Q270-CB-ML
15D90944,C7H270-CG-ML
15D90943,C7Z270-PG
15D90942,K1SPE R1.01
15D90941,X11SPi-TF
15D90940,C7Z270-CG
15D9093F,C7Z270-CG-L
15D9093E,X10DRT-B+
15D9093D,AOC-S3216L-L16iT
15D9093C,A2SAV
15D9093B,AOC-STGF-i2S
15D9093A,x11ssv-m4f
15D90939,X11SSV-M4
15D90938,X11DPT
15D90937,X11DPT
15D90936,AOC-UR-i4XTF
15D90935,AOC-STG-i4T
15D90934,AOC-MHFI-i1C
15D90933,P8DTU
15D90932,X10DRL-LN4
15D90931,B2SS1-CF
15D90930,X11SSQ-L
15D9092F,AOC-S40G-i1Q
15D9092E,AOC-2UR68-B2TS
15D9092D,X10SDE-DF
15D9092C,AOC-S8069L-16xR
15D9092B,X10DSN-TS
15D9092A,AOC-M25G-b2S
15D90929,AOC-2UR66-i4XTF
15D90928,AOC-S25G-b2S
15D90927,X11DPT-PS
15D90926,AOC-MHIBF-1QG
15D90925,AOC-MHIBF-2QG
15D90924,X10SRM-(T)F
15D90923,AOM-X10OBI-PCH
15D90922,X10SRW-LN4F-II008
15D90921,X10SDV-7TP8F
15D90920,AOC-MTG-i2T
15D9091F,AOC-MTG-i4T
15D9091E,X10SD7-AC107
15D9091D,X11SSW-LN4F-II008
15D9091C,X11DPU
15D9091B,AOC-UR-i4XT+
15D9091A,AOC-2UR6-i4xT+
15D90919,X10SDD-F
15D90918,AOC-UR-i4GXS
15D90917,X11DPi
15D90916,X10DSC-TP4S
15D90915,AOC-STGS-i2T
15D90914,AOC-STGS-i1T
15D90913,AOC-MG-i4
15D90912,AOC-MG-i2
15D90911,X10DRT-PS
15D90910,A2SDi-H-TF/A2SDi-H-TP4F
15D9090F,A2SDi-LN4F/A2SDi-TP8F
15D9090E,K1SPE(-T)
15D9090D,X11SRE-DS018
15D9090C,AOC-MTG-I2s
15D9090B,AOC-MTG-i4S
15D9090A,AOC-SLG3-4E4
15D90909,X11SSD-F
15D90908,B2SS2
15D90907,X11SAT(-F)
15D90906,K1SPi-KB-SG007
15D90905,K1SPI-KA-SG007
15D90904,AOC-2UR6N4-i4XT
15D90903,AOC-CTGS-i2T
15D90902,C7Z170-OCE
15D90901,X11SSM
15D9089F,X11SAE-M
15D9089E,AOC-URN2-i4GXS
15D9089D,X10DSC+
15D9089C,X11SSH-CTF
15D9089B,X11SSW-F
15D9089A,X11SSL(-F)/M
15D90899,X10DRH-CLN4
15D90898,X11SSE
15D90897,B1SD1-TF
15D90896,X11SSM-F
15D90895,X11SAE
15D90894,X11SSV-Q
15D90893,X10DGQ
15D90892,X10DRG-O+-CPU
15D90891,X11SBA
15D90890,X11SSQ
15D9088F,AOM-PIO-i2XT
15D9088E,AOC-PIO-i2G
15D9088D,AOC-S100G-i2C
15D9088C,AOM-S3108-H8S-SB
15D9088B,C7Z170-SQ
15D9088A,AOC-URN6-i2XT
15D90889,B10DRG
15D90888,X11SSZ
15D90887,AOC-S8076L-L16e
15D90886,X11SSA(-F)/X11SSi-LN4(F)
15D90885,X11SSL-CF/-NF
15D90884,X11SSH-F/-LN4F
15D90883,K1SPI
15D90882,X10DRX
15D90881,X10DRT-XB-SG007
15D90880,X10DRT-XA-SG007
15D9087F,X10DRFF-iG
15D9087E,AOC-STG-i4S
15D9087D,X10SRD-F
15D9087C,AOC-XEH-i4M
15D9087B,AOC-XEH-i2M
15D9087A,B1SD2-TF
15D90879,X10DRD-I/L/NT
15D90878,RSC-S2-88
15D90877,X10DRT-HB-SG007
15D90876,A2SCL-IN001
15D90875,AOC-2UR66-i4G
15D90874,AOC-2UR8N4-i2XT
15D90873,AOC-2URN4-i4XT
15D90872,X10QRH+
15D90871,AOC-2UR68-i2XS
15D90870,AOC-URN2-ii2SX
15D9086F,X10DRT-L
15D9086E,X10DDW-iN
15D9086D,X10SDV-TLN4F
15D9086C,X10DAL-i
15D9086B,X10DRS
15D9086A,AOC-URN2-i2XT
15D90869,AOC-URN2-i4XT
15D90868,AOC-SLG3-2E4
15D90867,AOC-SLG3-4E4R (Re-driver by 16)
15D90866,AOC-SLG3-2E4R (Re-driver by 8)
15D90865,X10DRD-i/LTP
15D90864,X10DRW-E/NT
15D90863,RSC-W2-66
15D90862,B1SL1-F
15D90861,B10DRT
15D90860,X10DRL-C/CT
15D9085F,AOC-2UR68-i2XT
15D9085E,AOC-2UR6-i4XT
15D9085D,AOC-UR-i2XT
15D9085C,X10DRU-XLL
15D9085B,X10DRT-HA-SG007
15D9085A,A1SRM-LN7F
15D90859,X10DRH-C
15D90858,X10DRT-H
15D90857,X10SRA
15D90856,C7X99
15D90855,H9SKV-420
15D90854,X10DRU-X
15D90853,X10QBL
15D90852,X10DRG-Q
15D90851,PMC PM8076
15D90850,AOC-PG-i4M
15D9084F,AOC-STGN-i2SF
15D9084D,AOC-STGN-i1SF
15D9084C,C7Z97-MF
15D9084B,X10SRG
15D9084A,AOC-S40G-i2Q
15D90849,AOC-UR-i4G
15D90848,AOC-2UR68-i4G
15D90847,AOC-UR-i4XT
15D90846,B1DRi
15D90845,X10DDW-i
15D90844,X10DRU-i+
15D90843,X10DRG-H(T)
15D90842,X10SLH-N6-ST031
15D90841,X9DRD-iT+
15D90840,B9DRG-3M
15D9083F,B9QR7
15D9083E,B10DRi
15D9083D,LSI 2116
15D9083C,A1SA7-2750F
15D9083B,X10DDW-iN3
15D9083A,X10DBT-T
15D90839,AOC-SLG3-2E4
15D90838,X10SRH-F
15D90837,X10DRT-D-SG007
15D90836,X10DAi
15D90835,X10DRC/i-LN4+/T4+
15D90834,X10SRI
15D90833,X10SRW-F
15D90832,X10SRL
15D90831,X10DRL-i
15D90830,X10DRFR
15D90829,C7Z97-OCE
15D90828,A1SA2-2750F
15D90827,X9QRH-TF
15D90826,X10SRE-EXP-SI030
15D90825,X10SRE-DS018
15D90824,X10DRT-P
15D90823,AOC-CTG-I1S
15D90822,X10DRFF(-C)
15D90821,X10DRW(-T)
15D90734,AOC-STG-I2T
15D90733,X9DB3-CPU-AI026
15D90732,X9DRG-OF
15D90731,X9DRT-P
15D90820,A1SAM
15D90819,X10SLV-Q
15D90661,B1SA4-F
15D90730,X9DAX-HFT
15D90818,X10SAT
15D90662,X9SKV
15D90817,X10SLE-DF
15D90816,X10SBA
15D90729,B9DRG-E
15D90815,X10SLV
15D90814,X10SLX-TF
15D90728,X10DRI/T
15D90727,X9DRW-CF31/CTF31
15D90813,X10SEAA-LN4F
15D90726,X10QBi
15D90725,X9DRG+HF+II
15D90659,AOC-STGN-I1S
15D90812,X10SLL+-F
15D90811,X10SLM-F
15D90724,X9DRH-if-NV
15D90658,AOC-STG-B4S
15D90657,C7Z87-OCE
15D90810,x10SLD
15D90656,AOC-SGP-i2
15D90809,LSI3108
15D90808,LSI3008
15D90807,X10SLE
15D90806,X10SLM-LN4F
15D90655,AOC-XEH-IN2
15D90654,C7Q87
15D90653,C7Z87
15D90805,X10SAE
15D9D111,H8SME-F
15D90804,X10SL7-f
15D90723,X9DRL-7F/EF
15D90652,AOC-CGP-i2
15D9D011,H8QG7
15D90722,X9DB3-TPF
15D90721,X9DBS-F
15D90651,X9SBAA
15D90650,X9SPV-M4
15D90720,X9DRW-7TPF+
15D90803,X10SLH
15D90802,X10SLA
15D90801,X10SLL
15D90647,X9SCE-F
15D9CF11,H8SML-7/i(F)
15D90719,B9DRP
15D90718,x9DRFF-7G+
15D90717,X9DRFF-7+/i+
15D90648,C7B75
15D90649,X9SCAA
15D90716,X9DBU-3F-AI034
15D90646,X9SCFF
15D90715,x9drw-7tpf
15D90714,X9SRH-7F
15D90713,X9DRFF-7
15D90712,B9DRG-X
15D90645,C7H61
15D90711,X9DRG-HTF+
15D90710,X9SRE-DS018
15D9070F,X9QR7-TF
15D9070E,X9DAX-7
15D9070D,B9DR7
15D90644,x9SAE
15D9070C,X9SRD-CD
15D9070B,X9SRL-CF
15D9070A,X9DRF-F
15D90709,X9dA7/E
15D90708,X9DRT-F
15D90707,X9QR7-TF+
15D90643,X9SPU
15D90706,X9DRT-HF+
15D90705,X9DR7/E-LN4F
15D90704,X9DR7/E-TF+
15D90703,X9DBL-6F/3f/if
15D90702,X9DRD-7LN4F
15D90701,X9DRT-HIBQF-AI034
15D90700,X9DRT-HF-AI034
15D9066F,X9DRW-LN4F+-AI034
15D9066E,X9DR6-LN4F+-AI034
15D9066D,X9DR6+-F-AI034
15D9066C,B9DRG
15D9066B,X9SRL-F
15D90642,C7Q67-H
15D9066A,B9DRT
15D90669,X9DRX+-F
15D90668,X9SRD
15D90667,X9DRL-6/iF/3f
15D90666,X9DRT-D-SG007
15D90665,X9DRG-QF
15D90641,X9SCV-LN4F+/X9SPV-LN4F
15D90640,X9SCL/SCM-II
15D90664,X9DRH-7F
15D90663,X9SRW
15D90662,X9DRG-HF
15D90661,X9SRG
15D90691,2308
15D90690,2208
15D90660,X9DRD-iF
15D90638,X8QB6-LF
15D90637,X9DBU-6F/3f/if
15D90636,X9DRW-6F/3f/if
15D90635,X9DAL-6/i/3
15D9CE11,H8DCT-HLN4F
15D90634,X9SCD
15D90633,X9SCV-Q
15D90632,X8DTG-QF+
15D90631,X9SCA/X9SCI
15D90630,X9DRW-6TF+/3TF+/3LN4F+
15D9062F,X9DRT-HF
15D9CD11,H8DCL-6F
15D9062E,X8STE-DS018
15D9062D,X8SIL-SIOM-FI005
15D9CB11,H8DGT-CM
15D9062C,X9DAi
15D9062B,X9SRi
15D9062A,X9SRA
15D90629,X9SRT-F
15D90628,X9DR6/i-F/X9DR3-F
15D9CA11,H8QGL
15D90627,X7SPT-DF-D525
15D90626,X9DR6-LN4F+/X9DR3-LN4F+
15D90625,B9DR6/i
15D90624,X9SCM
15D9BF11,H8DME-EX-LS006
15D90623,C7Q67
15D90622,C7P67
15D90621,X8OBN
15D9BE11,H8DCT
15D9BD11,H8DGT-C
15D9BC11,BHQG6/E
15D90620,B8DTG
15D9061F,B8DTP
15D9061E,X9SCL
15D9BD11,H8DCT-IBQF
15D9BC11,H8DG6/i(-F)
15D9061D,C7SIA
15D9BB11,BHDGT
15D9BA11,H8SCM-F
15D9061E,B8DTT-AI034
15D9061C,B8DT6-AI034
15D9AF11,H8DGU-LN4F+-AI034
15D9AE11,H8QGI-F-AI034
15D9AD11,H8DGT-HIBQF-AI034
15D9AC11,H8DGU-LN4
15D9AB11,H8QG6
15D9061B,X8DTT-HA
15D9061A,X8SIU
15D9060D,X8DTU-6TF+
15D9060C,X8DTU-LN4F+
15D9AA11,H8DGT
15D9A911,H8DGG-QF
15D9A811,H8DGU
15D90614,X8DTU-F-AI034
15D90613,X8DTT-C-SG007
15D90612,B8DTT
15D90611,AOC-STGN-I2S
15D90610,X8QB6/E
15D9060F,X8DTN+-F
15D9060E,X8SIT
15D9060D,C7SIM-Q
15D9060C,X8DTU+
15D9060B,X8SIA
15D9A811,H8DGU
15D9060A,X7SPA
15D9A711,H8SGL
15D9A611,BHQIE
15D9040D,X8SII/X8SI6
15D90404,X8DT6/E
15D90101,B8DTL
15D90609,X8DTS
15D90608,X8DTG-DF
15D9040B,X8DTW-6+/i+
15D9040A,X8DTL-6/L
15D90403,X8DA6/i-X
15D90409,H8QI6/E(+)(-F)
15D90408,H8DA6+
15D90607,C2G41
15D90606,X8DTG-4
15D90605,X8SIL
15D90604,winbond IPMI (Aten)
15D90603,C2SEM-Q
15D90602,X7SLA
15D90400,X8DTh-6/i
15D90601,x8DAL-3/i
15D90600,X8DTU
15D9000A,B8DT3
15D90401,X8DTH-RC014
15D90009,X8STi-3/-LN4
15D9A511,H8DI3+
15D9BA80,X7SLM-L
15D90100,X8DAH+
15D92511,H8DME-2-LS006
15D90008,X8DTT-B-SG
15D90007,X8DTT-IBX
15D90006,X8DTL-3/i
15D90003,X8DTW-3/i/-LN4
15D90002,C2SLM-OC012
15D9F580,X8ST3
15D9F380,X8SAX
15D90001,X8DT3/i/-LN4
15D9B980,Winbond IPMI (AMI)
15D9A311,H8QM3-EX
15D92411,H8DMT-IBX
15D9F480,X7DCX
15D90000,X7DCT-L/3/-IBX
15D9A980,X7SB3
15D92311,BHDME
15D9A880,X8DA3/i
15D9F280,X8DTN+
15D9B780,X7DWT-CD-SG007
15D9C380,AOC-USASLP-H8iR
15D9B880,C2SEA
15D9F180,X7SBU
15D9F080,X7SBT
15D9A780,B7DC3
15D92211,H8DMT
15D9BB80,B7DCE
15D9DF80,X7DWE
15D9AA80,X7DWT-C-SG007
15D9DE80,X7DCT-10G
15D9A680,X7DCA-3/i
15D9DD80,X7SBX
15D9DC80,X7DCA-L
15D9DB80,X7DCU
15D9DA80,C2SBM-Q
15D9D080,X7DWP
15D9AC80,X7DWU
15D9C280,B7DW3
15D9AE80,PDSMP-JN001
15D9AF80,AOC-UTG-I2
15D9D580,X7SBF
15D9AD11,BHQME
15D9D480,X7SBi-LN4
15D9AB80,C2SBM-Q
15D9BF80,C2SBi
15D9BE80,C2SBC
15D9D880,X7SBL-LN1/LN2
15D9C180,AOC-USAS-H8i
15D9C080,AOC-USAS-H4i
15D9BE80,C2SBC
15D9BD80,C2SBM
15D9BC80,X7DWT/-INF
15D9D380,X7SBA
15D92111,M8QME
15D9D280,X7SB4/E
15D9D680,C2SBX
15D9D680,X7DCA-3/i
15D9A480,X7DCL-3
15D9A211,H8QM3-2
15D9A380,X7QC3
15D9D180,X7SBi
15D9D780,C2SBA
15D9A580,AOC-USAS-L8I
15D9B680,X7DGT-ATOKAP
15D9B580,PDSBM-LN2
15D9A280,X7DW3+
15D9B480,AOC-UG-i4
15D9B380,X7DWN
15D9B280,X7DVL-L
15D92011,H8SMU
15D9A111,H8DA3-2
15D91911,H8DMU
15D9B180,X7DBI+
15D9A011,H8DM3-2
15D91811,H8SSL-I2
15D9B080,B7DBE
15D99980,X7DBT
15D99880,PDSMU+
15D9A911,SAS (AMD)-LSI
15D9A811,SAS (AMD)-LSI
15D9A711,SAS (AMD)-LSI
15D9A611,SAS (AMD)-LSI
15D9A511,SAS (AMD)-LSI
15D9A411,SAS (AMD)-LSI
15D9A311,SAS (AMD)-LSI
15D9A211,SAS (AMD)-LSI
15D9A111,SAS (AMD)-LSI
15D9A011,SAS (AMD)-LSI
15D9A980,SAS (INTEL & AOC)-lsi
15D9A880,SAS (INTEL & AOC)-lsi
15D9A780,SAS (INTEL & AOC)-lsi
15D9A680,SAS (INTEL & AOC)-lsi
15D9A580,SAS (INTEL & AOC)-lsi
15D9A480,SAS (INTEL & AOC)-lsi
15D9A380,SAS (INTEL & AOC)-lsi
15D9A280,SAS (INTEL & AOC)-lsi
15D9A180,AOC-USAS1-L4i
15D9A080,X7DVL-3
15D99780,X7DBU
15D99680,X7DBN
15D99580,X6QT8
15D91711,H8SMI-2
15D91611,H8DM8-2
15D91511,H8DMR-82
15D91411,H8DA8-2
15D91311,H8QM8-2
15D99480,X7DAL-E
15D99380,PDSLM
15D99280,X7DBR-3
15D99180,PDSME+
15D99080,X7DB8-X
15D98980,X7DBP-8
15D98880,X7DBX
15D98780,PDSBA
15D98680,X7DVL
15D91211,H8DC8
15D98580,PDSML
15D91111,H8DCR-3
15D98480,X7DBR-8+
15D98380,X7DBP-X
15D98280,PDSMI-LN4
15D98180,X7DA8
15D98080,X7DB8
15D97980,PDSMi
15D97880,X6DHR-C8
15D91133,LCD
15D97780,PDSMP-8/I
15D91011,H8DCE
15D90911,H8DAR-T
15D97680,PDSG4
15D97580,PDSLA/E
15D90811,H8DA8/H8DAR-8/I
15D97480,P8SCT
15D97380,P8SAA+
15D97280,X6DH8-XB
15D97180,X6DVL-EG/G
15D97080,X6DHR-TB
15D96980,X6DVA-4G
15D96880,x6dhr-8g2/X6DHR-TG
15D96780,x6dat-g
15D96680,x6dal-g/tg
15D96580,X6DHP-8G
15D96480,P8SAA
15D96380,X6DAR-8G
15D96280,P8SC8
15D96180,X6DH8-XG2
15D96080,X6DH8-G
15D95980,P8SGA
15D95880,I2dml
15D95780,X5DPT-G2
15D95680,X6DA8-G2
15D95580,X6DHR-8G
15D95480,X6DH8-G2
15D95380,X5DPL-TGM
15D95280,X5DCA
15D95180,P4SCT
15D95080,x5dpa-8gg
15D94980,X5DPA-TGM
15D94880,X5DPA-GG
15D94780,x5dpr-tg2+
15D94680,x5dal-tg
15D94580,P4SCE
15D94480,X5DPA
15D94380,P4SPA
15D94555,X5DLR-G2
15D94455,X5DL8-GG
15D94280,X5DAL
15D94180,P4SAA
15D94355,P4QH6
15D94080,X5DA8
15D93980,P4DPL8
15D93880,P4DPI
15D94255,P4SSE/P4SS8
15D94155,P4DE6/P4DEE/P4DEI
15D94055,P4DS8/p4dse
15D93780,P4DMS-6GM(PLUMAS)
15D93680,P4SGA(845G)
15D93955,P4DLR/P4DLR+
15D93855,P4DL6
15D93580,P4DPR
15D93480,P4DP6/P4DP8
15D93380,P4SDA (845)
15D93280,P4SBR (845)
15D93180,P4SBM (845)
15D93080,P4SBA (845)
15D92166,P3TDDE
15D92980,P4DC6(860)
15D92066,370DDR
15D91966,370DDE
15D91866,370SDA
15D92880,P4STA (850)
